Log_ID,Application_ID,Stage,Assigned_To,Stage_Start_Timestamp,Stage_End_Timestamp,Status
LOG0001,APP0001,Lead_Generation,Sales_Agent_A,2025-01-10 10:00:00,2025-01-10 14:30:00,Completed
LOG0002,APP0001,Credit_Review,Credit_Officer_X,2025-01-10 15:00:00,2025-01-11 11:00:00,Completed
LOG0003,APP0001,Document_Verification,Ops_Agent_1,2025-01-11 11:15:00,2025-01-11 16:45:00,Completed
LOG0004,APP0001,Disbursal_Queue,Finance_Team,2025-01-12 09:00:00,2025-01-12 12:00:00,Completed
LOG0005,APP0002,Lead_Generation,Sales_Agent_B,2025-01-12 11:00:00,2025-01-12 15:00:00,Completed
LOG0006,APP0002,Credit_Review,Credit_Officer_Y,2025-01-13 09:30:00,2025-01-14 17:00:00,Rejected
LOG0007,APP0003,Lead_Generation,Sales_Agent_C,2025-01-15 09:15:00,2025-01-15 11:30:00,Completed
LOG0008,APP0003,Credit_Review,Credit_Officer_X,2025-01-15 13:00:00,2025-01-16 14:00:00,Completed
LOG0009,APP0005,Lead_Generation,Sales_Agent_A,2025-01-20 14:00:00,2025-01-20 17:30:00,Completed
LOG0010,APP0005,Credit_Review,Credit_Officer_Z,2025-01-21 10:00:00,2025-01-22 15:45:00,Completed
LOG0011,APP0006,Lead_Generation,Sales_Agent_B,2025-01-22 09:00:00,2025-01-22 12:00:00,Completed
LOG0012,APP0006,Credit_Review,Credit_Officer_X,2025-01-22 13:00:00,2025-01-23 11:30:00,Completed
LOG0013,APP0006,Document_Verification,Ops_Agent_2,2025-01-23 14:00:00,,Pending
LOG0014,APP0008,Lead_Generation,Sales_Agent_C,2025-01-25 10:00:00,2025-01-25 13:00:00,Completed
LOG0015,APP0008,Credit_Review,Credit_Officer_Y,2025-01-25 14:00:00,2025-01-26 10:30:00,Completed
LOG0016,APP0008,Document_Verification,Ops_Agent_1,2025-01-26 11:00:00,2025-01-26 15:00:00,Completed
LOG0017,APP0008,Disbursal_Queue,Finance_Team,2025-01-26 16:00:00,2025-01-27 10:00:00,Completed
LOG0018,APP0011,Lead_Generation,Sales_Agent_A,2025-02-01 10:00:00,2025-02-01 14:00:00,Completed
LOG0019,APP0011,Credit_Review,Credit_Officer_Z,2025-02-01 15:00:00,2025-02-02 11:00:00,Completed
LOG0020,APP0011,Document_Verification,Ops_Agent_3,2025-02-02 11:30:00,2025-02-02 16:00:00,Completed
LOG0021,APP0011,Disbursal_Queue,Finance_Team,2025-02-03 09:00:00,2025-02-03 14:00:00,Completed
LOG0022,APP0012,Lead_Generation,Sales_Agent_B,2025-02-02 11:00:00,2025-02-02 16:00:00,Completed
LOG0023,APP0012,Credit_Review,Credit_Officer_X,2025-02-03 09:30:00,2025-02-04 15:00:00,Rejected
LOG0024,APP0013,Lead_Generation,Sales_Agent_C,2025-02-04 09:00:00,2025-02-04 12:00:00,Completed
LOG0025,APP0013,Credit_Review,Credit_Officer_Y,2025-02-04 13:00:00,2025-02-05 10:00:00,Completed
LOG0026,APP0017,Lead_Generation,Sales_Agent_A,2025-02-11 10:00:00,2025-02-11 15:00:00,Completed
LOG0027,APP0017,Credit_Review,Credit_Officer_Z,2025-02-12 09:00:00,2025-02-12 17:00:00,Completed
LOG0028,APP0017,Document_Verification,Ops_Agent_1,2025-02-13 09:00:00,,Pending
LOG0029,APP0023,Lead_Generation,Sales_Agent_B,2025-02-21 11:00:00,2025-02-21 14:30:00,Completed
LOG0030,APP0023,Credit_Review,Credit_Officer_X,2025-02-22 10:00:00,2025-02-23 12:00:00,Completed
LOG0031,APP0036,Lead_Generation,Sales_Agent_C,2025-03-16 09:00:00,2025-03-16 13:00:00,Completed
LOG0032,APP0036,Credit_Review,Credit_Officer_Y,2025-03-16 14:00:00,2025-03-17 11:00:00,Completed
LOG0033,APP0043,Lead_Generation,Sales_Agent_A,2025-03-28 10:00:00,2025-03-28 15:00:00,Completed
LOG0034,APP0043,Credit_Review,Credit_Officer_Z,2025-03-29 09:00:00,2025-03-30 14:00:00,Completed
LOG0035,APP0043,Document_Verification,Ops_Agent_2,2025-03-31 09:00:00,,Pending
LOG0036,APP0048,Lead_Generation,Sales_Agent_B,2025-04-06 11:00:00,2025-04-06 14:00:00,Completed
LOG0037,APP0048,Credit_Review,Credit_Officer_X,2025-04-07 10:00:00,2025-04-08 11:30:00,Completed
LOG0038,APP0062,Lead_Generation,Sales_Agent_C,2025-05-02 09:00:00,2025-05-02 12:30:00,Completed
LOG0039,APP0062,Credit_Review,Credit_Officer_Y,2025-05-02 14:00:00,2025-05-03 16:00:00,Completed
LOG0040,APP0069,Lead_Generation,Sales_Agent_A,2025-05-15 10:00:00,2025-05-15 14:00:00,Completed
LOG0041,APP0069,Credit_Review,Credit_Officer_Z,2025-05-16 09:00:00,2025-05-17 11:00:00,Completed
LOG0042,APP0069,Document_Verification,Ops_Agent_3,2025-05-18 10:00:00,,Pending
LOG0043,APP0079,Lead_Generation,Sales_Agent_B,2025-06-02 11:00:00,2025-06-02 15:00:00,Completed
LOG0044,APP0079,Credit_Review,Credit_Officer_X,2025-06-03 09:00:00,2025-06-04 10:30:00,Completed
LOG0045,APP0087,Lead_Generation,Sales_Agent_C,2025-06-17 09:00:00,2025-06-17 13:00:00,Completed
LOG0046,APP0087,Credit_Review,Credit_Officer_Y,2025-06-18 10:00:00,2025-06-19 11:00:00,Completed
LOG0047,APP0087,Document_Verification,Ops_Agent_1,2025-06-19 14:00:00,,Pending
LOG0048,APP0097,Lead_Generation,Sales_Agent_A,2025-07-06 10:00:00,2025-07-06 14:00:00,Completed
LOG0049,APP0097,Credit_Review,Credit_Officer_Z,2025-07-07 09:00:00,2025-07-08 15:00:00,Completed
LOG0050,APP0108,Lead_Generation,Sales_Agent_B,2025-07-27 11:00:00,2025-07-27 15:00:00,Completed
LOG0051,APP0108,Credit_Review,Credit_Officer_X,2025-07-28 10:00:00,2025-07-29 12:00:00,Completed
LOG0052,APP0108,Document_Verification,Ops_Agent_2,2025-07-30 09:00:00,,Pending
LOG0053,APP0117,Lead_Generation,Sales_Agent_C,2025-08-13 09:00:00,2025-08-13 13:00:00,Completed
LOG0054,APP0117,Credit_Review,Credit_Officer_Y,2025-08-14 10:00:00,2025-08-15 14:00:00,Completed
LOG0055,APP0126,Lead_Generation,Sales_Agent_A,2025-08-30 10:00:00,2025-08-30 14:00:00,Completed
LOG0056,APP0126,Credit_Review,Credit_Officer_Z,2025-08-31 09:00:00,2025-09-01 11:00:00,Completed
LOG0057,APP0126,Document_Verification,Ops_Agent_3,2025-09-02 10:00:00,,Pending
LOG0058,APP0135,Lead_Generation,Sales_Agent_B,2025-09-17 11:00:00,2025-09-17 14:30:00,Completed
LOG0059,APP0135,Credit_Review,Credit_Officer_X,2025-09-18 10:00:00,2025-09-19 12:00:00,Completed
LOG0060,APP0144,Lead_Generation,Sales_Agent_C,2025-10-04 09:00:00,2025-10-04 13:00:00,Completed
LOG0061,APP0144,Credit_Review,Credit_Officer_Y,2025-10-05 10:00:00,2025-10-06 11:00:00,Completed
LOG0062,APP0144,Document_Verification,Ops_Agent_1,2025-10-06 14:00:00,,Pending
LOG0063,APP0004,Lead_Generation,Sales_Agent_A,2025-01-18 10:00:00,2025-01-18 15:00:00,Completed
LOG0064,APP0004,Credit_Review,Credit_Officer_X,2025-01-19 09:00:00,2025-01-20 11:00:00,Completed
LOG0065,APP0004,Document_Verification,Ops_Agent_2,2025-01-20 11:30:00,2025-01-21 16:00:00,Completed
LOG0066,APP0004,Disbursal_Queue,Finance_Team,2025-01-22 09:00:00,2025-01-22 15:00:00,Completed
LOG0067,APP0013,Document_Verification,Ops_Agent_3,2025-02-05 11:00:00,2025-02-06 14:00:00,Completed
LOG0068,APP0013,Disbursal_Queue,Finance_Team,2025-02-07 09:00:00,2025-02-07 12:00:00,Completed
LOG0069,APP0021,Lead_Generation,Sales_Agent_B,2025-02-18 11:00:00,2025-02-18 16:00:00,Completed
LOG0070,APP0021,Credit_Review,Credit_Officer_Y,2025-02-19 09:30:00,2025-02-20 15:00:00,Completed
LOG0071,APP0021,Document_Verification,Ops_Agent_1,2025-02-21 09:00:00,2025-02-21 17:00:00,Completed
LOG0072,APP0021,Disbursal_Queue,Finance_Team,2025-02-22 09:00:00,2025-02-22 14:00:00,Completed
LOG0073,APP0030,Lead_Generation,Sales_Agent_C,2025-03-05 09:15:00,2025-03-05 14:00:00,Completed
LOG0074,APP0030,Credit_Review,Credit_Officer_Z,2025-03-06 10:00:00,2025-03-07 11:00:00,Completed
LOG0075,APP0030,Document_Verification,Ops_Agent_2,2025-03-07 13:00:00,2025-03-08 12:00:00,Completed
LOG0076,APP0030,Disbursal_Queue,Finance_Team,2025-03-09 09:00:00,2025-03-09 16:00:00,Completed
LOG0077,APP0034,Lead_Generation,Sales_Agent_A,2025-03-12 10:00:00,2025-03-12 14:00:00,Completed
LOG0078,APP0034,Credit_Review,Credit_Officer_X,2025-03-13 09:00:00,2025-03-14 10:30:00,Completed
LOG0079,APP0034,Document_Verification,Ops_Agent_3,2025-03-14 11:00:00,2025-03-14 16:00:00,Completed
LOG0080,APP0034,Disbursal_Queue,Finance_Team,2025-03-15 09:00:00,2025-03-15 13:00:00,Completed
LOG0081,APP0051,Lead_Generation,Sales_Agent_B,2025-04-12 11:00:00,2025-04-12 15:00:00,Completed
LOG0082,APP0051,Credit_Review,Credit_Officer_Y,2025-04-13 09:00:00,2025-04-14 14:00:00,Completed
LOG0083,APP0051,Document_Verification,Ops_Agent_1,2025-04-15 09:00:00,2025-04-15 17:00:00,Completed
LOG0084,APP0051,Disbursal_Queue,Finance_Team,2025-04-16 09:00:00,2025-04-16 12:00:00,Completed
LOG0085,APP0055,Lead_Generation,Sales_Agent_C,2025-04-19 09:00:00,2025-04-19 13:00:00,Completed
LOG0086,APP0055,Credit_Review,Credit_Officer_Z,2025-04-20 10:00:00,2025-04-21 11:00:00,Completed
LOG0087,APP0055,Document_Verification,Ops_Agent_2,2025-04-21 13:00:00,2025-04-22 12:00:00,Completed
LOG0088,APP0055,Disbursal_Queue,Finance_Team,2025-04-23 09:00:00,2025-04-23 15:00:00,Completed
LOG0089,APP0060,Lead_Generation,Sales_Agent_A,2025-04-28 10:00:00,2025-04-28 14:00:00,Completed
LOG0090,APP0060,Credit_Review,Credit_Officer_X,2025-04-29 09:00:00,2025-04-30 10:30:00,Completed
LOG0091,APP0060,Document_Verification,Ops_Agent_3,2025-04-30 11:00:00,2025-04-30 16:00:00,Completed
LOG0092,APP0060,Disbursal_Queue,Finance_Team,2025-05-01 09:00:00,2025-05-01 13:00:00,Completed
LOG0093,APP0063,Lead_Generation,Sales_Agent_B,2025-05-04 11:00:00,2025-05-04 15:00:00,Completed
LOG0094,APP0063,Credit_Review,Credit_Officer_Y,2025-05-05 09:00:00,2025-05-06 14:00:00,Completed
LOG0095,APP0063,Document_Verification,Ops_Agent_1,2025-05-07 09:00:00,2025-05-07 17:00:00,Completed
LOG0096,APP0063,Disbursal_Queue,Finance_Team,2025-05-08 09:00:00,2025-05-08 12:00:00,Completed
LOG0097,APP0067,Lead_Generation,Sales_Agent_C,2025-05-11 09:00:00,2025-05-11 13:00:00,Completed
LOG0098,APP0067,Credit_Review,Credit_Officer_Z,2025-05-12 10:00:00,2025-05-13 11:00:00,Completed
LOG0099,APP0067,Document_Verification,Ops_Agent_2,2025-05-13 13:00:00,2025-05-14 12:00:00,Completed
LOG0100,APP0067,Disbursal_Queue,Finance_Team,2025-05-15 09:00:00,2025-05-15 15:00:00,Completed
LOG0101,APP0074,Lead_Generation,Sales_Agent_A,2025-05-24 10:00:00,2025-05-24 14:00:00,Completed
LOG0102,APP0074,Credit_Review,Credit_Officer_X,2025-05-25 09:00:00,2025-05-26 10:30:00,Completed
LOG0103,APP0074,Document_Verification,Ops_Agent_3,2025-05-26 11:00:00,2025-05-26 16:00:00,Completed
LOG0104,APP0074,Disbursal_Queue,Finance_Team,2025-05-27 09:00:00,2025-05-27 13:00:00,Completed
LOG0105,APP0085,Lead_Generation,Sales_Agent_B,2025-06-14 11:00:00,2025-06-14 15:00:00,Completed
LOG0106,APP0085,Credit_Review,Credit_Officer_Y,2025-06-15 09:00:00,2025-06-16 14:00:00,Completed
LOG0107,APP0085,Document_Verification,Ops_Agent_1,2025-06-17 09:00:00,2025-06-17 17:00:00,Completed
LOG0108,APP0085,Disbursal_Queue,Finance_Team,2025-06-18 09:00:00,2025-06-18 12:00:00,Completed
LOG0109,APP0118,Lead_Generation,Sales_Agent_C,2025-08-15 09:00:00,2025-08-15 13:00:00,Completed
LOG0110,APP0118,Credit_Review,Credit_Officer_Z,2025-08-16 10:00:00,2025-08-17 11:00:00,Completed
LOG0111,APP0118,Document_Verification,Ops_Agent_2,2025-08-17 13:00:00,2025-08-18 12:00:00,Completed
LOG0112,APP0118,Disbursal_Queue,Finance_Team,2025-08-19 09:00:00,2025-08-19 15:00:00,Completed
LOG0113,APP0124,Lead_Generation,Sales_Agent_A,2025-08-26 10:00:00,2025-08-26 14:00:00,Completed
LOG0114,APP0124,Credit_Review,Credit_Officer_X,2025-08-27 09:00:00,2025-08-28 10:30:00,Completed
LOG0115,APP0124,Document_Verification,Ops_Agent_3,2025-08-28 11:00:00,2025-08-28 16:00:00,Completed
LOG0116,APP0124,Disbursal_Queue,Finance_Team,2025-08-29 09:00:00,2025-08-29 13:00:00,Completed
LOG0117,APP0133,Lead_Generation,Sales_Agent_B,2025-09-13 11:00:00,2025-09-13 15:00:00,Completed
LOG0118,APP0133,Credit_Review,Credit_Officer_Y,2025-09-14 09:00:00,2025-09-15 14:00:00,Completed
LOG0119,APP0133,Document_Verification,Ops_Agent_1,2025-09-16 09:00:00,2025-09-16 17:00:00,Completed
LOG0120,APP0133,Disbursal_Queue,Finance_Team,2025-09-17 09:00:00,2025-09-17 12:00:00,Completed
LOG0121,APP0135,Document_Verification,Ops_Agent_2,2025-09-19 13:00:00,2025-09-20 12:00:00,Completed
LOG0122,APP0135,Disbursal_Queue,Finance_Team,2025-09-21 09:00:00,2025-09-21 15:00:00,Completed
LOG0123,APP0003,Document_Verification,Ops_Agent_3,2025-01-16 15:00:00,2025-01-17 11:00:00,Completed
LOG0124,APP0003,Disbursal_Queue,Finance_Team,2025-01-17 13:00:00,2025-01-18 10:00:00,Completed
LOG0125,APP0008,Document_Verification,Ops_Agent_1,2025-01-27 11:00:00,2025-01-27 16:00:00,Completed
LOG0126,APP0008,Disbursal_Queue,Finance_Team,2025-01-28 09:00:00,2025-01-28 14:00:00,Completed
LOG0127,APP0010,Lead_Generation,Sales_Agent_A,2025-01-28 10:00:00,2025-01-28 15:00:00,Completed
LOG0128,APP0010,Credit_Review,Credit_Officer_Y,2025-01-29 09:00:00,2025-01-30 11:00:00,Completed
LOG0129,APP0010,Document_Verification,Ops_Agent_2,2025-01-30 11:30:00,2025-01-31 16:00:00,Completed
LOG0130,APP0010,Disbursal_Queue,Finance_Team,2025-02-01 09:00:00,2025-02-01 15:00:00,Completed
LOG0131,APP0014,Lead_Generation,Sales_Agent_B,2025-02-05 11:00:00,2025-02-05 16:00:00,Completed
LOG0132,APP0014,Credit_Review,Credit_Officer_Z,2025-02-06 09:30:00,2025-02-07 15:00:00,Completed
LOG0133,APP0014,Document_Verification,Ops_Agent_1,2025-02-08 09:00:00,2025-02-08 17:00:00,Completed
LOG0134,APP0014,Disbursal_Queue,Finance_Team,2025-02-09 09:00:00,2025-02-09 14:00:00,Completed
LOG0135,APP0015,Lead_Generation,Sales_Agent_C,2025-02-07 09:15:00,2025-02-07 14:00:00,Completed
LOG0136,APP0015,Credit_Review,Credit_Officer_X,2025-02-08 10:00:00,2025-02-09 11:00:00,Completed
LOG0137,APP0015,Document_Verification,Ops_Agent_2,2025-02-09 13:00:00,2025-02-10 12:00:00,Completed
LOG0138,APP0016,Lead_Generation,Sales_Agent_A,2025-02-09 10:00:00,2025-02-09 14:00:00,Completed
LOG0139,APP0016,Credit_Review,Credit_Officer_Y,2025-02-10 09:00:00,2025-02-11 10:30:00,Completed
LOG0140,APP0016,Document_Verification,Ops_Agent_3,2025-02-11 11:00:00,2025-02-11 16:00:00,Completed
LOG0141,APP0016,Disbursal_Queue,Finance_Team,2025-02-12 09:00:00,2025-02-12 13:00:00,Completed
LOG0142,APP0019,Lead_Generation,Sales_Agent_B,2025-02-14 11:00:00,2025-02-14 15:00:00,Completed
LOG0143,APP0019,Credit_Review,Credit_Officer_Z,2025-02-15 09:00:00,2025-02-16 14:00:00,Completed
LOG0144,APP0019,Document_Verification,Ops_Agent_1,2025-02-17 09:00:00,2025-02-17 17:00:00,Completed
LOG0145,APP0019,Disbursal_Queue,Finance_Team,2025-02-18 09:00:00,2025-02-18 12:00:00,Completed
LOG0146,APP0020,Lead_Generation,Sales_Agent_C,2025-02-15 09:00:00,2025-02-15 13:00:00,Completed
LOG0147,APP0020,Credit_Review,Credit_Officer_X,2025-02-16 10:00:00,2025-02-17 11:00:00,Completed
LOG0148,APP0020,Document_Verification,Ops_Agent_2,2025-02-17 13:00:00,2025-02-18 12:00:00,Completed
LOG0149,APP0020,Disbursal_Queue,Finance_Team,2025-02-19 09:00:00,2025-02-19 15:00:00,Completed
LOG0150,APP0022,Lead_Generation,Sales_Agent_A,2025-02-20 10:00:00,2025-02-20 14:00:00,Completed